chunk_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
[3, 8];llama-3.3-70b-instruct;;0.1;;85872;1873
[3, 9];llama-3.3-70b-instruct;;0.1;;85260;2905
[4, 0];llama-3.3-70b-instruct;;0.1;;85442;6477
[4, 1];llama-3.3-70b-instruct;;0.1;;85226;2862
[4, 2];llama-3.3-70b-instruct;;0.1;;85104;2146
[4, 3];llama-3.3-70b-instruct;;0.1;;85414;1415
[4, 5];llama-3.3-70b-instruct;;0.1;;84644;6263
[4, 6];llama-3.3-70b-instruct;;0.1;;84599;4970
[4, 7];llama-3.3-70b-instruct;;0.1;;84905;4646
[4, 8];llama-3.3-70b-instruct;;0.1;;85785;3465
[4, 9];llama-3.3-70b-instruct;;0.1;;85173;4245
[5, 0];llama-3.3-70b-instruct;;0.1;;84759;5290
[5, 1];llama-3.3-70b-instruct;;0.1;;84543;5612
[5, 2];llama-3.3-70b-instruct;;0.1;;84421;5579
[5, 3];llama-3.3-70b-instruct;;0.1;;84731;3918
[5, 4];llama-3.3-70b-instruct;;0.1;;84644;5730
[5, 6];llama-3.3-70b-instruct;;0.1;;83916;3164
[5, 7];llama-3.3-70b-instruct;;0.1;;84222;2239
[5, 8];llama-3.3-70b-instruct;;0.1;;85102;3575
[5, 9];llama-3.3-70b-instruct;;0.1;;84490;2963
[6, 0];llama-3.3-70b-instruct;;0.1;;84714;4869
[6, 3];llama-3.3-70b-instruct;;0.1;;84686;3476
[6, 4];llama-3.3-70b-instruct;;0.1;;84599;2558
[6, 5];llama-3.3-70b-instruct;;0.1;;83916;1990
[6, 7];llama-3.3-70b-instruct;;0.1;;84177;3415
[6, 8];llama-3.3-70b-instruct;;0.1;;85057;3046
[6, 9];llama-3.3-70b-instruct;;0.1;;84445;3094
[7, 0];llama-3.3-70b-instruct;;0.1;;85020;1065
[7, 1];llama-3.3-70b-instruct;;0.1;;84804;6727
[7, 2];llama-3.3-70b-instruct;;0.1;;84682;650
[7, 3];llama-3.3-70b-instruct;;0.1;;84992;1033
[7, 4];llama-3.3-70b-instruct;;0.1;;84905;3424
[7, 5];llama-3.3-70b-instruct;;0.1;;84222;1866
[7, 6];llama-3.3-70b-instruct;;0.1;;84177;3593
[7, 8];llama-3.3-70b-instruct;;0.1;;85363;6808
[7, 9];llama-3.3-70b-instruct;;0.1;;84751;3616
[8, 0];llama-3.3-70b-instruct;;0.1;;85900;912
[8, 1];llama-3.3-70b-instruct;;0.1;;85684;7371
[8, 2];llama-3.3-70b-instruct;;0.1;;85562;2662
[8, 3];llama-3.3-70b-instruct;;0.1;;85872;2818
[8, 4];llama-3.3-70b-instruct;;0.1;;85785;1556
[8, 6];llama-3.3-70b-instruct;;0.1;;85057;728
[8, 7];llama-3.3-70b-instruct;;0.1;;85363;5895
[8, 9];llama-3.3-70b-instruct;;0.1;;85631;5437
[9, 0];llama-3.3-70b-instruct;;0.1;;85288;3409
[9, 1];llama-3.3-70b-instruct;;0.1;;85072;4067
[9, 2];llama-3.3-70b-instruct;;0.1;;84950;1952
[9, 3];llama-3.3-70b-instruct;;0.1;;85260;3660
[9, 6];llama-3.3-70b-instruct;;0.1;;84445;3223
[9, 7];llama-3.3-70b-instruct;;0.1;;84751;4859
[9, 8];llama-3.3-70b-instruct;;0.1;;85631;2192
